Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018
Franklin Av    /Botanic Garden,S5432,Brooklyn,89,20269.0,24479.0,19326.0,17730.0,16077,16339
Franklin Av,SC,Brooklyn,197,8478.0,8633.0,8996.0,8274.0,8229,7939
Fulton St,G,Brooklyn,229,5702.0,6274.0,7089.0,6288.0,6198,6539
Gates Av,ZJ,Brooklyn,214,6685.0,7100.0,8053.0,7937.0,8358,7075
Graham Av,L,Brooklyn,152,11089.0,12774.0,11396.0,11996.0,11572,10247
Grand Army    Plaza,32,Brooklyn,208,9159.0,8638.0,8420.0,8216.0,6746,7283
Grand St,L,Brooklyn,233,6672.0,7787.0,7030.0,7256.0,7369,6486
Grant Av,A,Brooklyn,242,6593.0,7169.0,6901.0,6795.0,6290,6255
Greenpoint Av *,G,Brooklyn,194,7076.0,8050.0,10364.0,10109.0,8807,7954
Halsey St,J,Brooklyn,217,6683.0,7284.0,8262.0,8150.0,8226,7019
Halsey St,L,Brooklyn,170,8382.0,9661.0,8087.0,8731.0,10054,8954
Hewes St,MJ,Brooklyn,335,3627.0,3222.0,4042.0,3291.0,3048,3399
High St,CA,Brooklyn,97,9518.0,11042.0,8840.0,5437.0,11529,15473
Hoyt St,32,Brooklyn,308,6272.0,6708.0,7043.0,7619.0,3666,4054
Hoyt-Schermerhorn    Sts,GCA,Brooklyn,125,9754.0,9182.0,9961.0,10339.0,11877,12707
Jay    St-MetroTech,RFCA,Brooklyn,28,29107.0,30650.0,31485.0,33452.0,34871,32427
Jefferson St,L,Brooklyn,151,8282.0,10724.0,10807.0,11286.0,10753,10271
Junius St *,3,Brooklyn,400,2337.0,2293.0,2747.0,2053.0,934,1644
Kings Hwy,QB,Brooklyn,86,16687.0,15539.0,17206.0,16302.0,17673,16697
Kings Hwy,F,Brooklyn,331,3706.0,3967.0,4694.0,3903.0,3844,3487
Kings Hwy  *,N,Brooklyn,336,5818.0,5945.0,5696.0,1712.0,3205,3384
Kingston Av,3,Brooklyn,280,5126.0,5189.0,5430.0,5219.0,5057,4831
Kingston-Throop    Avs,C,Brooklyn,200,7120.0,6701.0,7536.0,7544.0,7644,7775
Knickerbocker    Av *,M,Brooklyn,359,2598.0,3274.0,4468.0,3846.0,1121,2764
Kosciuszko St,J,Brooklyn,240,5546.0,5663.0,6200.0,6517.0,7671,6276
Lafayette Av,C,Brooklyn,212,7577.0,7002.0,7329.0,7245.0,7201,7153
Liberty Av,C,Brooklyn,369,2449.0,2488.0,2773.0,2765.0,2588,2540
Livonia Av,L,Brooklyn,343,3288.0,3715.0,3039.0,3126.0,3461,3228
Lorimer St,MJ,Brooklyn,282,5503.0,4933.0,5920.0,5194.0,5583,4795
Lorimer St /Metropolitan Av,GL,Brooklyn,62,27339.0,25444.0,25640.0,24167.0,23285,21801
Marcy Av,ZMJ,Brooklyn,106,12353.0,13774.0,15165.0,13808.0,14486,14365
Montrose Av,L,Brooklyn,171,8525.0,10343.0,10039.0,10119.0,9644,8943
Morgan Av,L,Brooklyn,159,10289.0,12074.0,11294.0,12480.0,11465,10167
Myrtle Av,ZMJ,Brooklyn,122,14546.0,13088.0,14285.0,13814.0,15648,12912
Myrtle-Willoughby    Avs,G,Brooklyn,258,5968.0,6669.0,7382.0,7043.0,5547,5594
Myrtle-Wyckoff    Avs,ML,Brooklyn,39,24951.0,27345.0,27639.0,27784.0,29498,27320
Nassau Av,G,Brooklyn,166,9304.0,9747.0,11249.0,9560.0,8243,9386
Neck Rd,Q,Brooklyn,297,3922.0,3758.0,4290.0,4119.0,4594,4492
Neptune Av *,F,Brooklyn,414,1434.0,1485.0,1282.0,1254.0,1039,843
Nevins St,5432,Brooklyn,150,10342.0,10877.0,9902.0,8999.0,10231,10364
New Lots Av,3,Brooklyn,306,6510.0,6407.0,6055.0,5686.0,4803,4085
New Lots Av,L,Brooklyn,287,5145.0,5651.0,4697.0,4706.0,5387,4739
New Utrecht    Av /62 St *,DN,Brooklyn,254,6243.0,6881.0,8226.0,6504.0,5972,5748
Newkirk Av,52,Brooklyn,228,7661.0,7145.0,7853.0,7192.0,7008,6555
Newkirk Plaza,QB,Brooklyn,149,11613.0,10490.0,12210.0,10122.0,11558,10554
Norwood Av,ZJ,Brooklyn,353,3754.0,4167.0,4249.0,4099.0,3482,2835
Nostrand Av,3,Brooklyn,291,4942.0,4925.0,5241.0,5032.0,4770,4656
Nostrand Av,CA,Brooklyn,64,22420.0,19979.0,22586.0,22197.0,22803,21559
Ocean Pkwy *,Q,Brooklyn,318,3465.0,3167.0,3751.0,3597.0,3548,3712
